threshold,pred_pos,tp,fp,fn,precision,recall,f1
0.0500,8644433,120879,8523554,159,0.013983,0.998686,0.027581
0.1000,4404221,52582,4351639,68456,0.011939,0.434426,0.023239
0.1500,2793255,30041,2763214,90997,0.010755,0.248195,0.020616
0.2000,2067130,20645,2046485,100393,0.009987,0.170566,0.018870
0.2500,1482185,13682,1468503,107356,0.009231,0.113039,0.017068
0.3000,901400,7880,893520,113158,0.008742,0.065104,0.015414
0.3500,298787,2747,296040,118291,0.009194,0.022695,0.013086
0.4000,22715,203,22512,120835,0.008937,0.001677,0.002824
0.4500,8695,68,8627,120970,0.007821,0.000562,0.001048
0.5000,5656,47,5609,120991,0.008310,0.000388,0.000742
0.5250,4849,44,4805,120994,0.009074,0.000364,0.000699
0.5500,4261,38,4223,121000,0.008918,0.000314,0.000607
0.5750,3760,31,3729,121007,0.008245,0.000256,0.000497
0.6000,3372,27,3345,121011,0.008007,0.000223,0.000434
0.6250,3018,23,2995,121015,0.007621,0.000190,0.000371
0.6500,2723,18,2705,121020,0.006610,0.000149,0.000291
0.6750,2464,16,2448,121022,0.006494,0.000132,0.000259
0.7000,2249,13,2236,121025,0.005780,0.000107,0.000211
0.7250,2051,11,2040,121027,0.005363,0.000091,0.000179
0.7500,1864,9,1855,121029,0.004828,0.000074,0.000146
0.7750,1734,8,1726,121030,0.004614,0.000066,0.000130
0.8000,1584,7,1577,121031,0.004419,0.000058,0.000114
0.8250,1442,6,1436,121032,0.004161,0.000050,0.000098
0.8500,1300,5,1295,121033,0.003846,0.000041,0.000082
0.8750,1150,3,1147,121035,0.002609,0.000025,0.000049
0.9000,1017,3,1014,121035,0.002950,0.000025,0.000049
0.9200,903,2,901,121036,0.002215,0.000017,0.000033
0.9300,846,2,844,121036,0.002364,0.000017,0.000033
0.9400,781,2,779,121036,0.002561,0.000017,0.000033
0.9500,713,2,711,121036,0.002805,0.000017,0.000033
0.9600,654,2,652,121036,0.003058,0.000017,0.000033
0.9700,589,2,587,121036,0.003396,0.000017,0.000033
0.9800,504,2,502,121036,0.003968,0.000017,0.000033
0.9900,425,2,423,121036,0.004706,0.000017,0.000033
