threshold,pred_pos,tp,fp,fn,precision,recall,f1
0.0500,182820,16748,166072,265,0.091609,0.984424,0.167620
0.1000,118467,16510,101957,503,0.139364,0.970434,0.243726
0.1500,92423,16281,76142,732,0.176157,0.956974,0.297544
0.2000,70923,15875,55048,1138,0.223834,0.933110,0.361058
0.2500,54522,15237,39285,1776,0.279465,0.895609,0.426001
0.3000,47644,15002,32642,2011,0.314877,0.881796,0.464049
0.3500,42116,14808,27308,2205,0.351600,0.870393,0.500871
0.4000,37081,14559,22522,2454,0.392627,0.855757,0.538285
0.4500,32805,14312,18493,2701,0.436275,0.841239,0.574571
0.5000,29269,14040,15229,2973,0.479688,0.825251,0.606715
0.5250,27886,13914,13972,3099,0.498960,0.817845,0.619791
0.5500,26584,13777,12807,3236,0.518244,0.809793,0.632016
0.5750,25481,13632,11849,3381,0.534987,0.801270,0.641596
0.6000,24434,13482,10952,3531,0.551772,0.792453,0.650566
0.6250,23482,13343,10139,3670,0.568222,0.784283,0.658995
0.6500,22506,13171,9335,3842,0.585222,0.774173,0.666565
0.6750,21597,12979,8618,4034,0.600963,0.762887,0.672313
0.7000,20770,12821,7949,4192,0.617285,0.753600,0.678665
0.7250,19887,12617,7270,4396,0.634435,0.741609,0.683848
0.7500,19070,12374,6696,4639,0.648873,0.727326,0.685863
0.7750,18226,12090,6136,4923,0.663338,0.710633,0.686172
0.8000,17378,11758,5620,5255,0.676603,0.691119,0.683784
0.8250,16415,11296,5119,5717,0.688151,0.663963,0.675841
0.8500,15324,10710,4614,6303,0.698904,0.629519,0.662399
0.8750,14037,9913,4124,7100,0.706205,0.582672,0.638519
0.9000,12522,8882,3640,8131,0.709312,0.522071,0.601456
0.9200,10952,7740,3212,9273,0.706720,0.454946,0.553549
0.9300,9937,7061,2876,9952,0.710577,0.415036,0.524007
0.9400,8906,6354,2552,10659,0.713452,0.373479,0.490297
0.9500,7876,5575,2301,11438,0.707847,0.327691,0.447989
0.9600,6941,4827,2114,12186,0.695433,0.283724,0.403022
0.9700,5717,3943,1774,13070,0.689697,0.231764,0.346942
0.9800,4122,2670,1452,14343,0.647744,0.156939,0.252661
0.9900,930,560,370,16453,0.602151,0.032916,0.062420
