threshold,pred_pos,tp,fp,fn,precision,recall,f1
0.0500,2664579,426533,2238046,33335,0.160075,0.927512,0.273029
0.1000,2172981,414406,1758575,45462,0.190709,0.901141,0.314797
0.1500,1927188,404421,1522767,55447,0.209850,0.879428,0.338845
0.2000,1761707,395899,1365808,63969,0.224725,0.860897,0.356413
0.2500,1626502,387624,1238878,72244,0.238318,0.842903,0.371577
0.3000,1506966,379429,1127537,80439,0.251783,0.825082,0.385827
0.3500,1392923,370877,1022046,88991,0.266258,0.806486,0.400344
0.4000,1270666,360813,909853,99055,0.283956,0.784601,0.416996
0.4500,1144319,349391,794928,110477,0.305327,0.759764,0.435599
0.5000,1024900,336734,688166,123134,0.328553,0.732241,0.453585
0.5250,968562,330097,638465,129771,0.340811,0.717808,0.462182
0.5500,914217,323287,590930,136581,0.353622,0.703000,0.470549
0.5750,862933,316409,546524,143459,0.366667,0.688043,0.478392
0.6000,812613,309073,503540,150795,0.380345,0.672091,0.485780
0.6250,765132,301762,463370,158106,0.394392,0.656193,0.492673
0.6500,718251,293974,424277,165894,0.409291,0.639257,0.499057
0.6750,671954,285517,386437,174351,0.424906,0.620867,0.504526
0.7000,627379,276857,350522,183011,0.441291,0.602036,0.509281
0.7250,580860,266899,313961,192969,0.459489,0.580382,0.512908
0.7500,535589,256034,279555,203834,0.478042,0.556755,0.514405
0.7750,488218,242860,245358,217008,0.497442,0.528108,0.512316
0.8000,441739,227851,213888,232017,0.515805,0.495470,0.505433
0.8250,393092,209852,183240,250016,0.533850,0.456331,0.492056
0.8500,339522,187416,152106,272452,0.552000,0.407543,0.468898
0.8750,283298,161090,122208,298778,0.568624,0.350296,0.433524
0.9000,222928,130552,92376,329316,0.585624,0.283890,0.382404
0.9200,167509,100520,66989,359348,0.600087,0.218584,0.320445
0.9300,139533,84988,54545,374880,0.609089,0.184810,0.283576
0.9400,108605,67410,41195,392458,0.620690,0.146586,0.237162
0.9500,77614,49417,28197,410451,0.636702,0.107459,0.183883
0.9600,40860,26825,14035,433043,0.656510,0.058332,0.107144
0.9700,261,154,107,459714,0.590038,0.000335,0.000669
0.9800,3,2,1,459866,0.666667,0.000004,0.000009
0.9900,0,0,0,459868,0.000000,0.000000,0.000000
